	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19
RASSF3	0.0	0.0015366938666494469	0.003954890418007722	0.0	0.0017356237080390804	0.0	0.00010076311088834771	0.006748955179808816	0.0012259584910245507	0.0030399101731160573	0.0025709585216142383	0.0	0.0015026678855167104	0.0012750260410846583	0.0012448579969522597	0.0	0.00133238536816761	0.0032554956025645622	0.004050508910478208
GRIP1	0.002182102874963487	0.00243623935050046	0.0006265835276910862	9.606082699897712e-05	0.00041509860291595493	0.001884832000162078	0.0053925168691515936	0.0014212258574593313	0.004387030809559902	2.3303917739625326e-05	0.0029837229776385494	0.0009575163546942423	0.0	0.0	0.0	0.0010153392740431025	0.002462539955758561	0.00303289654147706	0.0030085705223324177
LGR5	0.0	0.0027102865862547016	0.003150841165530529	0.0005417641439368195	0.0	0.0016808050608885469	0.00442899554587447	0.0	0.0025280961501693657	0.001436170502332664	0.0	0.0	0.0013309731593675253	0.0037260644712233384	0.001557473800901866	0.0028546928497931306	0.0001288564575130225	0.003876103708638407	0.0034816510237929863
E2F7	0.0031598329718124274	0.003017277550389916	0.0	0.0	0.0	0.0	0.0031523411797254697	0.0017884215869336034	0.005927995501169583	0.0006342028645768729	0.0024291519938467363	0.002464468704851213	0.0007758567081149275	0.001815747555016234	0.0019822830069715944	0.00019716889170089878	0.0013038296185193885	0.0014010830164414287	0.0019129781506422576
NTS	0.0032554751372974185	0.0016824565772442885	0.00046597521843626873	0.0	0.0023798676933634495	0.0038213447890829526	0.0014115305344073305	0.0009597226003229398	0.0012085441087837932	2.368533397438333e-05	0.003658685990711532	7.330288880589592e-05	0.001778215513454093	0.001224179004115938	0.003163351274926365	0.0	0.0016258296391303334	0.0	0.00521968394371613
VEZT	0.0011633951063760362	0.0	0.004284752180007917	0.0007254272557334384	0.0007600682253273864	0.002044024960022491	0.000160188105107671	0.003190851707869716	0.002042022265791975	0.002829740426623811	0.0	0.00022657474740944066	0.0018420890443843255	0.003018313843071484	0.00142638285800775	0.003566305595116645	0.001976573962070819	0.0012564745931609167	0.001971164069369352
DRAM1	0.0	0.0	0.00493676160801241	0.001280192050157529	0.0026163914679773292	0.004830353273920218	0.0	0.0015593149591788544	0.0005207944502166439	0.001411305469839905	0.0	0.0	0.0011218359191203264	0.0027236062560763025	0.0010805088526943064	0.0036290286495030137	0.001561088836348252	0.003128268563839525	0.0014576481152443286
MYO1H	0.0032388931499934444	0.0035294150203420633	0.00048547267850567664	0.0	0.0018293840779423352	0.0018670059820178899	0.0007419219767086431	0.0010817215146011717	0.0020358217641680285	0.0009130936126651281	0.0022190844764492083	0.001191308482110178	0.0013419921628254174	0.002623339290579687	0.002798209137337196	0.00046656089071730116	0.0022891282840353214	0.0002837826226396971	0.001834065216375562
ANKRD13A	0.003532813692420676	0.0015178037774361696	0.0006471390416864624	0.0	2.844289196839527e-05	0.0012517166250630943	0.0007142815940804018	0.0032130696105379464	0.0019415423858438466	0.0016296276023308937	0.004344203491538503	0.0025639251587013957	0.0025351067227242165	0.0005285981031730142	0.001731333811553056	0.0025372348090044977	0.0007669956726980037	0.0007395935739835448	0.0015723324359169413
BRAP	0.003499159671713997	0.00047298480708182853	0.003131611724600699	0.0021704723273311354	0.0031403611304415212	0.0018649190401747303	0.0015219606235247997	0.0028548720625877592	0.0	0.0	0.0011417122183307964	0.0017473172655963543	0.0013095686290980155	0.002366797795737412	0.0007786776692314999	0.0009398579580128704	0.0012353430857547176	0.0	0.0011302827688556148
ACAD10	0.002945870149360947	0.001162812610154958	0.0001309645166037407	0.0009753737928943422	0.00234999802643597	0.0026297093015463045	0.0005274026393334342	0.0009395013416149708	0.001376551634768559	0.0004667383640454959	0.0011414648815327708	0.0007171396451325649	0.005990024302911211	0.0013409565443278154	0.0	0.001985370840133009	0.004328906101610855	0.0	0.0031658211896870205
TRIAP1	0.0	0.0	0.003233293865278425	0.0005576146327308961	0.0011951335182487821	0.004966758692703675	0.0028552537197621443	2.647007623718603e-05	0.001987369252272907	0.0013803994910109175	0.0	0.0024172818464001547	0.002532491987664975	0.0025897435841673697	0.0016801102806283709	0.003204949875959547	0.0031952891058267996	0.00012532130846205686	0.0003638304598453279
OASL	0.00038530675642643817	0.0	0.003708834580304723	0.0018567396440222778	0.002349808000655162	0.005040310635377255	0.003151675092073904	0.0009791925266755038	0.0017080672177269788	0.0	0.0	0.0005941045517323723	0.002100786021151241	0.0018847059499263487	0.0012088842988960818	0.00050570491791789	0.003268313073473238	0.001842036225551502	0.00010550533496085239
AACS	0.0024647145559530716	0.003892162192106171	0.0	0.0030469491424059193	0.0015434530423599868	0.002109827902267351	0.0002048100335484389	0.001235624978615636	0.00020145668924772804	0.0018501011995433433	0.001225747112444444	0.001516067695519857	0.0020641405728459993	0.000918200419989681	0.0026375700832149632	0.0017361887231887882	0.0	0.0017129978498701003	0.0020692546244452503
RAN	0.0	0.0013642177523929587	0.004887940607944915	0.0003978478394364548	0.0	0.0031575783818436343	0.0006765894989867381	0.0021786799502214464	0.0	0.0	0.0018590835784284404	0.0004869743698293761	0.002585174118543677	0.0022099167766631454	0.0026666458096152273	0.0020400337885923313	0.004026427114495973	0.0035198640245365964	0.000598950229654229
PSPC1	0.0011671450247763163	0.0043449266811313525	0.0	0.0020354715307356218	0.0017296375558639326	0.0009588486530031598	7.104172507639266e-05	0.00346522498810686	0.0007117612446491057	0.0012873656435643918	0.000780378638526268	0.0032740967368517764	0.0007541238529787828	0.0013891506952892383	0.0046152424639049885	0.0010193910349237827	0.0014890155545495382	0.0	0.0026000136205805223
SKA3	0.0014672882783300749	0.003492055486261268	0.00019648834824932457	0.0057245191086280735	0.0007647396891142604	0.0019910110942427733	0.0011024088774942385	0.0003647342199018049	1.1286699186572851e-05	0.0019546406543500074	0.0017386343540740621	0.0018640550883274208	0.0008941520990959526	0.000826039866144892	0.0018199624073557158	0.002079895325593206	3.6362967014320326e-05	0.003112909939867371	0.0003979179253558722
FGF9	0.0027231833203430005	0.0021577822000627255	0.00015370526345656523	0.0036484259583548363	0.0034002320283201145	0.0033346385722924417	0.000533463433043878	0.00037716115069561163	0.0	0.004324458394520612	0.0013501785263993562	0.0	0.0	0.0	0.0013097937418007843	0.0035930317907886225	0.0	0.0014361788424104786	0.0013096007909668328
C1QTNF9	0.002843413443726302	0.002976823094192601	0.0	0.0003037464521300948	0.0006901619810599083	0.0	0.004070908763119543	0.0017929409565682166	0.0012844754785980423	0.0012081406655860573	0.004865975326743742	0.0016547474734187103	0.0021314805989997424	0.0006205652835517562	0.0025651635315713617	0.0006055321159001253	0.0013964384350861076	0.001517832791207426	0.0009903077770018632
