	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31
AGO1	0.0008443579538240331	0.0	0.0009701250642474172	0.00020245816691530954	6.702409521721336e-06	0.0015935672011864522	0.0015417211250805844	1.7121523931969337e-05	0.0	0.0	0.0002005996145618993	9.452101449617543e-05	0.0025642905283945142	0.0014601002365687162	0.0020824577677046197	0.0	0.0005256333709239911	0.0012066561010650903	0.0008460688519427854	0.0029753965428097775	0.0	0.0	0.0019058345932883131	0.0004976588742936141	0.0011696312525961857	0.0010521789405358378	0.0	0.0009956387006511776	0.00010285959870512065	0.0	0.00026490399916402727
AGO3	0.00021935171328124433	0.0	6.389811102591882e-05	0.0	0.0	8.347832083824885e-05	0.0018260293925528466	3.867126780808179e-05	0.0	0.0	0.0007066604347580323	0.00026108731891647934	0.0015607444062833273	0.0018683113793885196	0.0013885398972690553	0.0	0.00018515526938185214	0.0011188358883072967	0.0011252255947999602	0.0026170792232259633	0.0	0.0010906926241386246	0.003276606121703414	0.0016880574979301385	0.0015191479603320727	0.0008160710197141682	0.0	0.00023373815180795988	0.001547145863717095	0.002012683439886647	0.0007633827224576634
TRAPPC3	0.0	0.0015853845272131438	0.00019987595863741795	3.6098291974548575e-05	0.0	0.0023562878749482825	0.0031931562042353217	0.0	0.0007054677522759857	0.0014140449514235627	0.0	0.0011458197193572332	0.0	8.006190816787053e-05	1.56069848694258e-05	0.001665014697564231	0.0	0.002349996031240945	0.001196636702494979	0.0006187286013129528	0.0005283269688850687	0.0	0.0	0.0005152433944238058	0.001579038865415937	0.00079521458349793	0.0006353784092318082	0.0017814514422189304	0.0004410023402646745	0.0	0.0003281096819309271
MEAF6	0.0	0.0009666511103750611	0.0007453014165030517	0.0	0.0	0.0026518266260376015	0.0020346093191053512	0.003711428827928736	0.00010950829228599254	0.0	0.00012969654326370415	0.0	0.00034801635579689296	0.0010529147103053708	0.0	0.0005274187942908326	0.0002094980580227247	0.0015871215553025962	0.0014703271493884931	0.0	0.0009849293789956286	0.0005278774402933797	0.0	0.0002978084299306948	0.0	0.0017194624784857547	0.0006758001531673835	0.0007316761208283188	0.0013752239939693336	0.0012373455625191482	0.0013164897104242458
HEYL	0.000485785417937194	3.0144744010133682e-05	0.0016817263273063978	0.0	0.0	0.0010387459059552936	0.001350602307082883	0.0	0.0	0.0	0.0025280601997238754	0.0	0.003005958537104046	0.0007243117064498234	0.0020386918681202714	1.3082316594765699e-05	0.0	6.185842657510685e-05	0.0015217293879035102	0.0017922420787602848	0.0	0.0011841256596760354	0.0013185134677822434	0.0015605658683706984	0.0	0.0007318248889152159	0.001329463282148623	0.00025060176425955395	0.0	0.0	0.0009792469751681834
SMAP2	0.0	0.0018438350387907179	0.0004797546218263954	0.0015216211087452959	0.0	0.0015166336026173786	0.0016045971030431336	0.0011755382234644157	0.0018585733447459033	0.0001742302157257241	0.00021953146726519151	0.0016743992214621236	0.00029828088770147276	3.160568498914016e-05	0.0	0.0015906855011862129	0.0	5.5920733591421015e-05	0.0005445231606179098	0.0002737351359983998	0.0005049557790004976	0.0008703284443624591	0.00045518513761954503	0.0010911855183628814	0.0009922442493506035	0.00043264268795204544	0.0016354394793370542	0.0	0.0010899309232379403	0.0	0.0007471574201591882
CITED4	0.0008005403519657874	0.0007659852872224562	0.00183781632879658	0.002458827298635769	0.0028477464838677627	0.00011804066055962747	0.0	0.00014160099121223376	0.0007069681174419925	0.0	0.0002716010246589226	0.0007731651291728789	0.000257314829043301	0.0013313717180023573	0.0008907884607620908	0.0022118341449996214	0.0019466210061771338	0.0010636680892336815	0.0	0.0002892407013379907	0.0	0.0	0.0004542282334003475	0.0	0.0010928408073012136	0.0007043730069356749	0.0	0.0007726062501477212	0.0	0.0	0.0
ERMAP	0.001458149791375762	0.0	0.0	0.0	0.0007935291768793664	0.0019698278449965505	0.0	0.0003600646289160603	0.0	0.0	0.0	0.0009534915975848682	0.0	0.0016985591212429858	0.0007162747831226807	0.0	0.001593452139645947	0.0	0.0	0.0024791408071084013	0.0021772509938767495	0.0017938864336606909	0.0013800690461009798	0.0	0.0	0.0016016290765460235	0.0	0.0029142045355786293	0.0013463861515669356	0.0019132170438009193	0.00037193351649988775
ZNF691	0.0012891974433211432	0.0	0.00031107250448035416	0.0	0.0	0.001083549615753406	0.0010571095400439179	0.00042052511542703847	0.0	0.0004910382021065877	0.0011462135749932946	0.0	0.001236195632675094	0.0014542883629892005	0.001415765058408195	0.0	0.0006572795400979495	0.00011437208374948484	0.0025309677385717522	0.0021139910895243055	0.0	0.0011421136594946236	0.0008943385736365492	5.944460107645073e-05	0.0032135239999843655	0.0003220398178696588	0.0	0.0010781388199536546	0.0004023209826060499	0.0016149090113136012	0.0007092404555356673
DPH2	0.0011151799959841769	0.0014979007869322654	0.0	0.0036034644085149365	0.0018846054090716018	0.0007166504304491806	0.0004128793041528503	0.0006145518732472684	0.0015014641523461675	0.0	0.0009108340263534677	0.0022333855803891465	0.0	0.0	0.0	0.0006794140137722443	0.0	0.0006976374180083873	0.0007058135702381779	0.0	0.00019416852318093492	0.0017192567522815365	0.0	0.00018887174164243075	0.0009162668175019092	0.0	0.0009443001760022027	0.0003437801600434182	0.0	0.0	0.0006185146493224552
